Order ID,Order Date,Shipped,Customer ID,City,State/Province,Postal/Zip Code,Country,Product Title,Option Summary,Quantity,Unit Price,Discount Price,Item Total,Shipping Total,Discount Total,Order Total,Status
134029,2018-12-07,2018-12-12,79b517750071a0fce0ea0c2ef27fc40d5063df78aac79c8bbf4c7d2e24d9cf3d,Brookings,SD,57006,United States of America,DAFM synth - GENESIS YM2612 / YM3438,FM YAMAHA chip: YM3438 - Fully Assembled,1,124.38,124.38,124.38,0.0,0.0,124.38,billed
136661,2019-01-04,2019-01-13,5f54c081a80b3cd0960794be1ea8f4fbd1bb977f7d9b30227657217fb49a2a54,Neustadt,RP,67433,Germany,DAFM synth - GENESIS YM2612 / YM3438,FM YAMAHA chip: YM2612 - Fully Assembled,1,126.12,126.12,126.12,0.0,0.0,126.12,billed
136829,2019-01-05,2019-01-16,1eaa433ace9b356d976ae83bdfac56282ef0fa7afcc05f191cfffe0d1910502e,Auckland,Auckland,1024,New Zealand,DAFM synth - GENESIS YM2612 / YM3438,FM YAMAHA chip: YM2612 - Fully Assembled,1,126.12,126.12,126.12,0.0,0.0,126.12,billed
137381,2019-01-10,2019-01-19,92ce259747bc2c850787c5e27547416aa4da0a13a23708b92e8a68359ffc2017,Berlin,Berlin,10409,Germany,DAFM synth - GENESIS YM2612 / YM3438,FM YAMAHA chip: YM2612 - Fully Assembled,1,126.12,126.12,126.12,0.0,0.0,126.12,billed
142040,2019-02-23,2019-02-25,d1b71ad194e919d69cabdf143cea070293c4190d6c3be3aeb70d6880f570a1d4,Bluff City,TN,37618,United States of America,DAFM synth - GENESIS YM2612 / YM3438,FM YAMAHA chip: YM2612 - Fully Assembled,1,156.11,129.99,129.99,19.99,26.12,149.98,billed
142045,2019-02-23,2019-02-25,2b399d7420dc7bc7af563099b028273c83adae8cf92fef0d4fc1b992765d109d,Columbus,WI,53925,United States of America,DAFM synth - GENESIS YM2612 / YM3438,FM YAMAHA chip: YM3438 - Fully Assembled,1,154.37,154.37,154.37,19.99,0.0,174.36,billed
142047,2019-02-23,2019-02-25,52516d5a71f334ae0a5c363e0cc7997b6a250db9bed7ad2f67ef2680def8e055,Oaklandand,CA,94608,United States of America,DAFM synth - GENESIS YM2612 / YM3438,FM YAMAHA chip: YM2612 - Fully Assembled,1,156.11,156.11,156.11,19.99,0.0,176.1,billed
142072,2019-02-23,2019-02-25,edc7f106ea218bcd2ab7e30ed2f8c65de216dd3362dbe1a86e936e9d7e398625,Mobile,AL,36693,United States of America,DAFM synth - GENESIS YM2612 / YM3438,FM YAMAHA chip: YM3438 - Fully Assembled,1,154.37,154.37,154.37,19.99,0.0,174.36,billed
143589,2019-03-09,2019-03-11,28560825053c5c116a794656cf80f9a59807b52f306ab2dafa7ad52fd74c13bf,Longview,TX,75605,United States of America,DAFM synth - GENESIS YM2612 / YM3438,FM YAMAHA chip: YM3438 - Fully Assembled,1,174.37,148.25,148.25,19.99,26.12,168.24,billed
143599,2019-03-09,2019-03-11,d0a66c95d33822a59758f1851b143f427562356c52df6bcd662e8bf998c0f662,Providence,RI,02903,United States of America,DAFM synth - GENESIS YM2612 / YM3438,FM YAMAHA chip: YM2612 - Fully Assembled,1,176.11,176.11,176.11,19.99,0.0,196.1,billed
143622,2019-03-09,2019-03-11,0d40570bf5d7d794a30ecbf88122033e62eb4aa17ab2eb071a425218af4f1bea,San Deigo,CA,92107,United States of America,DAFM synth - GENESIS YM2612 / YM3438,FM YAMAHA chip: YM3438 - Fully Assembled,1,174.37,174.37,174.37,19.99,0.0,194.36,billed
145868,2019-03-29,2019-04-06,ea67ffd5aa5e85b4a6c3b7d5343273b178fdf5785998789b8f1f3b46eff89cde,Minneapolis,MN,55412,United States of America,DAFM synth - GENESIS YM2612 / YM3438,PCB Color: Green PCB; FM YAMAHA chip: YM2612 - Fully Assembled,1,176.11,176.11,176.11,19.99,0.0,196.1,billed
145910,2019-03-29,2019-04-06,9662880f7c5f0f51b99c7e906173f16d9e8a2ea9f0c0604282831949869bdc93,Eltham,London,SE9 1AG,United Kingdom,DAFM synth - GENESIS YM2612 / YM3438,PCB Color: Green PCB; FM YAMAHA chip: YM3438 - Fully Assembled,1,174.37,174.37,174.37,9.99,0.0,184.36,billed
146085,2019-03-31,2019-04-06,7edf9a6b42e0c4b91f1ea5013cd7d8df9e4a3c44a2db54eaf12b7b5b3f298c9f,hamburg,hamburg,22049,Germany,DAFM synth - GENESIS YM2612 / YM3438,PCB Color: Green PCB; FM YAMAHA chip: YM2612 - Fully Assembled,1,176.11,176.11,176.11,0.0,0.0,176.11,billed
146865,2019-04-05,2019-04-14,f3b919764c8b2bb2fbf8a791928028128c655e17525c3a618a9d93595a6e44f4,Miami,FL,33165,United States of America,DAFM synth - GENESIS YM2612 / YM3438,Knobs color: Metallic red; PCB Color: White PCB; FM YAMAHA chip: YM2612,1,179.98,179.98,179.98,19.99,0.0,199.97,billed
147569,2019-04-11,2019-04-14,053e199141a85eeef526609bd0d9340828f1f5135adab4e0a0883735ed847f1c,chelmsford,essex,CM28EG,United Kingdom,DAFM synth - GENESIS YM2612 / YM3438,PCB Color: Green PCB; Knobs color: Metallic red; FM YAMAHA chip: YM2612,1,174.99,174.99,174.99,9.99,0.0,184.98,billed
